,高潮时间,高潮潮高,低潮时间,低潮潮高,潮差
39,1997-01-16 06:00:00,6391.529903808661,1997-01-16 00:00:00,886.3322531020503,5505.197650706611
40,1997-01-16 19:00:00,6431.158175089633,1997-01-16 12:00:00,748.9701502048201,5682.188024884813
41,1997-01-17 07:00:00,6413.864786696078,1997-01-17 01:00:00,714.7649176779328,5699.099869018146
42,1997-01-17 19:00:00,6484.7369999678285,1997-01-17 13:00:00,737.8056030189082,5746.93139694892
43,1997-01-18 08:00:00,6225.696810778043,1997-01-18 02:00:00,716.7410242705382,5508.955786507505
44,1997-01-18 20:00:00,6517.0234075302815,1997-01-18 14:00:00,905.5205377813445,5611.502869748937
45,1997-01-19 09:00:00,5867.744308320934,1997-01-19 02:00:00,738.1271578051369,5129.617150515796
46,1997-01-19 21:00:00,6350.4109515019145,1997-01-19 15:00:00,1215.8157550902688,5134.595196411646
47,1997-01-20 09:00:00,5530.124393897435,1997-01-20 03:00:00,902.8878324983402,4627.236561399095
48,1997-01-20 22:00:00,6056.240144068899,1997-01-20 15:00:00,1472.7437597222315,4583.496384346668
49,1997-01-21 10:00:00,5127.07223143284,1997-01-21 04:00:00,1163.6892333291307,3963.3829981037097
50,1997-01-21 22:00:00,5759.547605502074,1997-01-21 16:00:00,1788.6711452378381,3970.8764602642354
51,1997-01-22 11:00:00,4753.781148404331,1997-01-22 05:00:00,1442.9938936322,3310.7872547721313
52,1997-01-23 00:00:00,5474.4642355732185,1997-01-22 17:00:00,2086.305048985278,3388.1591865879404
53,1997-01-23 13:00:00,4616.485231325356,1997-01-23 06:00:00,1666.8147468779837,2949.6704844473725
54,1997-01-24 01:00:00,5348.889981574496,1997-01-23 18:00:00,2290.2233605844776,3058.6666209900186
55,1997-01-24 14:00:00,4713.895915156884,1997-01-24 07:00:00,1784.4596777597494,2929.436237397135
56,1997-01-25 02:00:00,5373.983273279984,1997-01-24 19:00:00,2352.4559191029616,3021.5273541770225
57,1997-01-25 15:00:00,4964.152477410089,1997-01-25 08:00:00,1781.739304058788,3182.413173351301
58,1997-01-26 03:00:00,5516.068188334377,1997-01-25 21:00:00,2231.3877293258674,3284.6804590085094
59,1997-01-26 16:00:00,5276.983075250683,1997-01-26 09:00:00,1684.255137471869,3592.7279377788145
60,1997-01-27 00:00:00,2948.85814717667,1997-01-26 22:00:00,2017.3069080779655,931.5512390987046
